seq_number,lat,lon
0,35.46452221271301,-82.38140287969512
1,35.45001264385368,-82.38140287969512
2,35.43550307499436,-82.39874573664684
3,35.42099350613504,-82.41608859359859
4,35.406483937275716,-82.41608859359859
5,35.39197436841639,-82.41608859359859
6,35.37746479955707,-82.41608859359859
7,35.36295523069774,-82.41608859359859
8,35.348445661838426,-82.41608859359859
9,35.3339360929791,-82.41608859359859
10,35.31942652411978,-82.41608859359859
11,35.30491695526045,-82.41608859359859
12,35.29040738640113,-82.43343145055032
13,35.275897817541804,-82.45077430750206
14,35.261388248682486,-82.46811716445379
15,35.24687867982316,-82.48546002140553
16,35.23236911096384,-82.50280287835727
17,35.21785954210451,-82.520145735309
18,35.20334997324519,-82.53748859226074
19,35.188840404385864,-82.55483144921247
20,35.17433083552655,-82.57217430616421
21,35.15982126666722,-82.58951716311594
22,35.1453116978079,-82.60686002006769
23,35.130802128948574,-82.62420287701943
24,35.11629256008925,-82.64154573397116
25,35.101782991229925,-82.6588885909229
26,35.08727342237061,-82.67623144787463
27,35.07276385351128,-82.69357430482637
28,35.05825428465196,-82.7109171617781
29,35.043744715792634,-82.72826001872984
30,35.02923514693331,-82.74560287568157
31,35.01472557807399,-82.76294573263331
32,35.00021600921467,-82.78028858958504
33,34.985706440355344,-82.79763144653678
34,34.97119687149602,-82.81497430348853
35,34.956687302636695,-82.83231716044025
36,34.94217773377737,-82.849660017392
37,34.92766816491805,-82.86700287434373
38,34.91315859605873,-82.88434573129547
39,34.898649027199404,-82.9016885882472
40,34.88413945834008,-82.91903144519894
41,34.869629889480755,-82.93637430215067
42,34.85512032062143,-82.95371715910241
43,34.840610751762114,-82.97106001605415
44,34.82610118290279,-82.98840287300588
45,34.811591614043465,-83.00574572995762
46,34.79708204518414,-83.02308858690935
47,34.782572476324816,-83.0404314438611
48,34.76806290746549,-83.05777430081282
49,34.753553338606174,-83.07511715776457
50,34.73904376974685,-83.0924600147163
51,34.724534200887526,-83.10980287166804
52,34.7100246320282,-83.12714572861978
53,34.69551506316888,-83.14448858557151
54,34.68100549430956,-83.16183144252325
55,34.666495925450235,-83.17917429947498
56,34.65198635659091,-83.19651715642672
57,34.637476787731586,-83.21386001337845
58,34.62296721887226,-83.2312028703302
59,34.60845765001294,-83.24854572728192
60,34.59394808115362,-83.26588858423366
61,34.579438512294296,-83.2832314411854
62,34.56492894343497,-83.30057429813714
63,34.55041937457565,-83.31791715508888
64,34.53590980571632,-83.3352600120406
65,34.521400236857,-83.35260286899235
66,34.50689066799768,-83.36994572594408
67,34.492381099138356,-83.38728858289582
68,34.47787153027903,-83.40463143984755
69,34.46336196141971,-83.42197429679929
70,34.44885239256038,-83.43931715375102
71,34.43434282370106,-83.45666001070276
72,34.41983325484174,-83.4740028676545
73,34.40532368598242,-83.49134572460623
74,34.39081411712309,-83.50868858155798
75,34.37630454826377,-83.5260314385097
76,34.36179497940444,-83.54337429546145
77,34.347285410545126,-83.56071715241318
78,34.3327758416858,-83.57806000936492
79,34.31826627282648,-83.59540286631665
80,34.30375670396715,-83.61274572326839
81,34.28924713510783,-83.63008858022013
82,34.274737566248504,-83.64743143717186
83,34.26022799738919,-83.6647742941236
84,34.24571842852986,-83.68211715107533
85,34.23120885967054,-83.69946000802707
86,34.21669929081121,-83.7168028649788
87,34.20218972195189,-83.73414572193055
88,34.187680153092565,-83.75148857888227
89,34.17317058423325,-83.76883143583402
90,34.15866101537392,-83.78617429278576
91,34.1441514465146,-83.80351714973749
92,34.129641877655274,-83.82086000668923
93,34.11513230879595,-83.83820286364096
94,34.100622739936625,-83.8555457205927
95,34.08611317107731,-83.87288857754443
96,34.071603602217984,-83.89023143449617
97,34.05709403335866,-83.9075742914479
98,34.042584464499335,-83.92491714839964
99,34.02807489564001,-83.94226000535139
100,34.01356532678069,-83.95960286230311
101,33.99905575792137,-83.97694571925486
102,33.984546189062044,-83.99428857620659
103,33.97003662020272,-84.01163143315833
104,33.955527051343395,-84.02897429011006
105,33.94101748248407,-84.0463171470618
106,33.926507913624754,-84.06366000401353
107,33.91199834476543,-84.08100286096527
108,33.897488775906105,-84.098345717917
109,33.88297920704678,-84.11568857486874
110,33.868469638187456,-84.13303143182048
111,33.85396006932813,-84.15037428877221
112,33.839450500468814,-84.16771714572396
113,33.82494093160949,-84.18506000267568
114,33.810431362750165,-84.20240285962743
115,33.79592179389084,-84.21974571657915
116,33.78141222503152,-84.2370885735309
117,33.76690265617219,-84.25443143048264
118,33.752393087312875,-84.27177428743437
119,33.73788351845355,-84.28911714438611
120,33.723373949594226,-84.30646000133784
121,33.7088643807349,-84.32380285828958
122,33.69435481187558,-84.34114571524131
123,33.67984524301626,-84.35848857219305
124,33.665335674156935,-84.37583142914478
125,33.65082610529761,-84.39317428609652
126,33.63631653643829,-84.41051714304825
127,33.63631653643829,-84.42786
