seq_number,lat,lon
0,38.1543629079709,-107.04741538136115
1,38.13986843683363,-107.02862033931926
2,38.12537396569636,-107.00982529727737
3,38.11087949455909,-106.9910302552355
4,38.09638502342183,-106.97223521319361
5,38.08189055228456,-106.95344017115173
6,38.067396081147294,-106.93464512910984
7,38.052901610010025,-106.91585008706797
8,38.038407138872756,-106.89705504502608
9,38.02391266773549,-106.87826000298419
10,38.00941819659822,-106.8594649609423
11,37.99492372546095,-106.8594649609423
12,38.00941819659822,-106.84066991890042
13,38.02391266773549,-106.82187487685854
14,38.038407138872756,-106.80307983481666
15,38.052901610010025,-106.78428479277477
16,38.067396081147294,-106.78428479277477
17,38.08189055228456,-106.76548975073288
18,38.09638502342183,-106.74669470869101
19,38.11087949455909,-106.72789966664912
20,38.12537396569636,-106.70910462460724
21,38.13986843683363,-106.69030958256535
22,38.1543629079709,-106.67151454052348
23,38.16885737910817,-106.67151454052348
24,38.18335185024544,-106.65271949848159
25,38.197846321382706,-106.6339244564397
26,38.212340792519974,-106.61512941439781
27,38.22683526365724,-106.59633437235593
28,38.241329734794505,-106.57753933031405
29,38.25582420593177,-106.55874428827217
30,38.27031867706904,-106.55874428827217
31,38.28481314820631,-106.53994924623028
32,38.29930761934358,-106.52115420418839
33,38.31380209048085,-106.50235916214652
34,38.32829656161812,-106.48356412010463
35,38.342791032755386,-106.48356412010463
36,38.357285503892655,-106.46476907806274
37,38.371779975029916,-106.44597403602086
38,38.386274446167185,-106.42717899397897
39,38.400768917304454,-106.4083839519371
40,38.41526338844172,-106.38958890989521
41,38.42975785957899,-106.37079386785332
42,38.44425233071626,-106.37079386785332
43,38.45874680185353,-106.35199882581144
44,38.4732412729908,-106.33320378376956
45,38.48773574412807,-106.31440874172768
46,38.50223021526533,-106.29561369968579
47,38.5167246864026,-106.2768186576439
48,38.531219157539866,-106.25802361560201
49,38.545713628677134,-106.25802361560201
50,38.5602080998144,-106.23922857356014
51,38.57470257095167,-106.22043353151825
52,38.58919704208894,-106.22043353151825
53,38.60369151322621,-106.20163848947637
54,38.61818598436348,-106.18284344743448
55,38.63268045550074,-106.1640484053926
56,38.64717492663801,-106.14525336335072
57,38.66166939777528,-106.12645832130883
58,38.676163868912546,-106.10766327926694
59,38.690658340049815,-106.08886823722507
60,38.705152811187084,-106.07007319518318
61,38.71964728232435,-106.0512781531413
62,38.73414175346162,-106.0512781531413
63,38.74863622459888,-106.03248311109941
64,38.76313069573615,-106.01368806905752
65,38.77762516687342,-105.99489302701565
66,38.79211963801069,-105.97609798497376
67,38.80661410914796,-105.95730294293188
68,38.82110858028523,-105.95730294293188
69,38.835603051422495,-105.93850790088999
70,38.850097522559764,-105.91971285884811
71,38.86459199369703,-105.90091781680623
72,38.8790864648343,-105.88212277476434
73,38.89358093597156,-105.86332773272245
74,38.90807540710883,-105.86332773272245
75,38.9225698782461,-105.84453269068057
76,38.93706434938337,-105.8257376486387
77,38.95155882052064,-105.8069426065968
78,38.96605329165791,-105.78814756455492
79,38.980547762795176,-105.76935252251303
80,38.995042233932445,-105.76935252251303
81,39.009536705069706,-105.75055748047116
82,39.024031176206975,-105.73176243842927
83,39.038525647344244,-105.71296739638738
84,39.05302011848151,-105.6941723543455
85,39.06751458961878,-105.67537731230362
86,39.08200906075605,-105.67537731230362
87,39.09650353189332,-105.67537731230362
88,39.11099800303059,-105.65658227026174
89,39.12549247416786,-105.63778722821985
90,39.13998694530512,-105.61899218617796
91,39.15448141644239,-105.60019714413608
92,39.168975887579656,-105.5814021020942
93,39.183470358716924,-105.56260706005231
94,39.19796482985419,-105.54381201801043
95,39.21245930099146,-105.52501697596854
96,39.22695377212873,-105.50622193392667
97,39.241448243266,-105.48742689188478
98,39.25594271440327,-105.48742689188478
99,39.27043718554053,-105.4686318498429
100,39.2849316566778,-105.449836807801
101,39.29942612781507,-105.43104176575912
102,39.313920598952336,-105.41224672371725
103,39.328415070089605,-105.39345168167536
104,39.342909541226874,-105.37465663963347
105,39.35740401236414,-105.35586159759158
106,39.37189848350141,-105.33706655554971
107,39.37189848350141,-105.31827151350782
108,39.35740401236414,-105.29947647146594
109,39.37189848350141,-105.28068142942405
110,39.38639295463868,-105.26188638738216
111,39.40088742577594,-105.24309134534029
112,39.41538189691321,-105.2242963032984
113,39.42987636805048,-105.20550126125652
114,39.44437083918775,-105.18670621921463
115,39.45886531032502,-105.16791117717275
116,39.473359781462285,-105.14911613513087
117,39.487854252599554,-105.13032109308898
118,39.487854252599554,-105.1115260510471
119,39.50234872373682,-105.09273100900522
120,39.516843194874085,-105.07393596696333
121,39.516843194874085,-105.05514092492145
122,39.53133766601135,-105.03634588287956
123,39.54583213714862,-105.01755084083767
124,39.56032660828589,-104.9987557987958
125,39.56032660828589,-104.97996075675391
126,39.57482107942316,-104.96116571471202
127,39.58931555056043,-104.94237067267014
128,39.6038100216977,-104.92357563062826
129,39.618304492834966,-104.90478058858638
130,39.632798963972235,-104.88598554654449
131,39.647293435109496,-104.88598554654449
132,39.661787906246765,-104.88598554654449
133,39.676282377384034,-104.8671905045026
134,39.6907768485213,-104.84839546246073
135,39.70527131965857,-104.82960042041884
136,39.71976579079584,-104.81080537837695
137,39.73426026193311,-104.79201033633507
138,39.74875473307038,-104.77321529429318
139,39.763249204207646,-104.77321529429318
140,39.77774367534491,-104.75442025225131
141,39.79223814648218,-104.73562521020942
142,39.79223814648218,-104.71683016816753
143,39.79223814648218,-104.69803512612565
144,39.806732617619446,-104.67924008408377
145,39.821227088756714,-104.66044504204189
146,39.83572155989398,-104.64165
