seq_number,lat,lon
0,43.76207679804336,-90.10986478857447
1,43.74758768969794,-90.10986478857447
2,43.733098581352515,-90.10986478857447
3,43.71860947300709,-90.10986478857447
4,43.70412036466167,-90.10986478857447
5,43.68963125631625,-90.10986478857447
6,43.675142147970824,-90.10986478857447
7,43.6606530396254,-90.10986478857447
8,43.64616393127998,-90.10986478857447
9,43.631674822934556,-90.10986478857447
10,43.61718571458913,-90.09045802315573
11,43.602696606243704,-90.07105125773698
12,43.58820749789828,-90.05164449231825
13,43.57371838955286,-90.0322377268995
14,43.559229281207436,-90.01283096148074
15,43.544740172862014,-89.99342419606201
16,43.53025106451659,-89.97401743064326
17,43.51576195617117,-89.95461066522451
18,43.501272847825746,-89.93520389980577
19,43.48678373948032,-89.91579713438702
20,43.4722946311349,-89.89639036896827
21,43.45780552278948,-89.89639036896827
22,43.443316414444055,-89.87698360354953
23,43.42882730609863,-89.85757683813078
24,43.41433819775321,-89.83817007271205
25,43.39984908940778,-89.8187633072933
26,43.38535998106236,-89.79935654187454
27,43.370870872716935,-89.77994977645581
28,43.35638176437151,-89.76054301103706
29,43.34189265602609,-89.7411362456183
30,43.32740354768067,-89.72172948019957
31,43.312914439335245,-89.70232271478082
32,43.29842533098982,-89.68291594936208
33,43.2839362226444,-89.66350918394333
34,43.26944711429898,-89.64410241852458
35,43.254958005953554,-89.62469565310585
36,43.24046889760813,-89.6052888876871
37,43.22597978926271,-89.58588212226834
38,43.21149068091729,-89.56647535684961
39,43.19700157257186,-89.54706859143086
40,43.182512464226434,-89.5276618260121
41,43.16802335588101,-89.50825506059337
42,43.15353424753559,-89.48884829517462
43,43.139045139190166,-89.46944152975588
44,43.124556030844744,-89.45003476433713
45,43.11006692249932,-89.43062799891838
46,43.0955778141539,-89.41122123349965
47,43.081088705808476,-89.3918144680809
48,43.06659959746305,-89.37240770266214
49,43.05211048911763,-89.35300093724341
50,43.03762138077221,-89.33359417182466
51,43.023132272426786,-89.31418740640592
52,43.00864316408136,-89.29478064098717
53,42.99415405573593,-89.27537387556842
54,42.97966494739051,-89.25596711014968
55,42.96517583904509,-89.23656034473093
56,42.950686730699665,-89.21715357931218
57,42.93619762235424,-89.19774681389345
58,42.92170851400882,-89.1783400484747
59,42.9072194056634,-89.15893328305594
60,42.892730297317975,-89.13952651763721
61,42.87824118897255,-89.12011975221846
62,42.86375208062713,-89.10071298679972
63,42.84926297228171,-89.08130622138097
64,42.834773863936284,-89.06189945596222
65,42.82028475559086,-89.04249269054348
66,42.80579564724544,-89.02308592512473
67,42.79130653890002,-89.00367915970598
68,42.77681743055459,-88.98427239428725
69,42.762328322209164,-88.9648656288685
70,42.74783921386374,-88.94545886344974
71,42.73335010551832,-88.92605209803101
72,42.7188609971729,-88.90664533261226
73,42.704371888827474,-88.88723856719352
74,42.68988278048205,-88.86783180177477
75,42.67539367213663,-88.84842503635602
76,42.660904563791206,-88.82901827093728
77,42.64641545544578,-88.80961150551853
78,42.63192634710036,-88.79020474009978
79,42.61743723875494,-88.77079797468105
80,42.602948130409516,-88.7513912092623
81,42.588459022064086,-88.73198444384354
82,42.57396991371866,-88.71257767842481
83,42.55948080537324,-88.69317091300606
84,42.54499169702782,-88.67376414758732
85,42.530502588682396,-88.65435738216857
86,42.51601348033697,-88.63495061674982
87,42.51601348033697,-88.61554385133108
88,42.50152437199155,-88.59613708591233
89,42.48703526364613,-88.57673032049358
90,42.472546155300705,-88.55732355507484
91,42.45805704695528,-88.5379167896561
92,42.44356793860986,-88.51851002423736
93,42.42907883026444,-88.49910325881861
94,42.414589721919015,-88.47969649339986
95,42.40010061357359,-88.46028972798112
96,42.38561150522817,-88.44088296256237
97,42.37112239688274,-88.42147619714362
98,42.37112239688274,-88.40206943172488
99,42.35663328853732,-88.38266266630613
100,42.342144180191895,-88.36325590088738
101,42.342144180191895,-88.34384913546864
102,42.32765507184647,-88.3244423700499
103,42.31316596350105,-88.30503560463116
104,42.29867685515563,-88.28562883921241
105,42.284187746810204,-88.26622207379366
106,42.26969863846478,-88.24681530837492
107,42.25520953011936,-88.22740854295617
108,42.240720421773936,-88.20800177753742
109,42.226231313428514,-88.18859501211868
110,42.21174220508309,-88.16918824669993
111,42.19725309673767,-88.1497814812812
112,42.182763988392246,-88.13037471586244
113,42.16827488004682,-88.1109679504437
114,42.15378577170139,-88.09156118502496
115,42.13929666335597,-88.0721544196062
116,42.12480755501055,-88.0721544196062
117,42.110318446665126,-88.05274765418746
118,42.0958293383197,-88.03334088876872
119,42.08134022997428,-88.01393412334997
120,42.06685112162886,-87.99452735793122
121,42.052362013283435,-87.97512059251248
122,42.03787290493801,-87.95571382709373
123,42.02338379659259,-87.936307061675
124,42.00889468824717,-87.91690029625624
125,41.994405579901745,-87.8974935308375
126,41.97991647155632,-87.87808676541876
127,41.96542736321089,-87.85868
